ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2017,"2017",67755,2053,"Austin, TX","16000US4805000","austin-tx"
2017,"2017",73800,1801.0000000000002,"Austin-Round Rock, TX","31000US12420","austin-round-rock-san-marcos-tx-metro-area"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",72884,2002.9999999999998,"Travis County, TX","05000US48453","travis-county-tx"
2017,"2017",81719,2121,"Williamson County, TX","05000US48491","williamson-county-tx"
2017,"2017",59206,489.99999999999994,"Texas","04000US48","texas"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",66697,1719,"Austin, TX","16000US4805000","austin-tx"
2016,"2016",56565,300,"Texas","04000US48","texas"
2016,"2016",71000,944,"Austin-Round Rock, TX","31000US12420","austin-round-rock-san-marcos-tx-metro-area"
2016,"2016",70158,1425,"Travis County, TX","05000US48453","travis-county-tx"
2016,"2016",81818,3396,"Williamson County, TX","05000US48491","williamson-county-tx"
2015,"2015",62250,1457,"Austin, TX","16000US4805000","austin-tx"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",65269,1969,"Travis County, TX","05000US48453","travis-county-tx"
2015,"2015",78311,2242,"Williamson County, TX","05000US48491","williamson-county-tx"
2015,"2015",67195,1310,"Austin-Round Rock, TX","31000US12420","austin-round-rock-san-marcos-tx-metro-area"
2015,"2015",55653,314,"Texas","04000US48","texas"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",58458,1862.0000000000002,"Austin, TX","16000US4805000","austin-tx"
2014,"2014",61787,1397,"Travis County, TX","05000US48453","travis-county-tx"
2014,"2014",72453,2331,"Williamson County, TX","05000US48491","williamson-county-tx"
2014,"2014",63603,1891,"Austin-Round Rock, TX","31000US12420","austin-round-rock-san-marcos-tx-metro-area"
2014,"2014",53035,377,"Texas","04000US48","texas"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",61750,1225,"Austin-Round Rock, TX","31000US12420","austin-round-rock-san-marcos-tx-metro-area"
2013,"2013",56351,1733,"Austin, TX","16000US4805000","austin-tx"
2013,"2013",70911,1567,"Williamson County, TX","05000US48491","williamson-county-tx"
2013,"2013",51704,238,"Texas","04000US48","texas"
2013,"2013",60464,1786.0000000000002,"Travis County, TX","05000US48453","travis-county-tx"
