ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2017,"2017",1,"Full-time","412031","Retail salespersons",47846.3525181909,3804.6631217668096,105135,7920.181696868456,896,"Texas","04000US48"
2,"Female",2017,"2017",1,"Full-time","412031","Retail salespersons",30004.730677220236,2799.4237957453834,67718,6368.011330627487,553,"Texas","04000US48"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",35748.79389312977,4667.189877891863,16768,3176.6100420457224,135,"Texas","04000US48"
2,"Female",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",76689.72607431165,4527.145063615118,110373,8113.0106813959355,1111,"Texas","04000US48"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",47260.80878137025,923.5894243243172,260916,12381.986848064433,2724,"Texas","04000US48"
1,"Male",2017,"2017",1,"Full-time","412010","Cashiers",24058.87986124285,2577.446576631926,36899,4707.689772228038,300,"Texas","04000US48"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",48943.78492493007,2126.7675572257,268483,12555.54984631348,2290,"Texas","04000US48"
1,"Male",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",114332.82295367701,5423.644982488763,223755,11487.441585861157,2210,"Texas","04000US48"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",51282.94092198781,2241.2712880984955,71194,6528.3009652634,733,"Texas","04000US48"
2,"Female",2017,"2017",1,"Full-time","412010","Cashiers",20901.750238162538,1447.6882281352703,95523,7552.9872367702055,755,"Texas","04000US48"
1,"Male",2016,"2016",1,"Full-time","412010","Cashiers",29739.176429648534,6623.901763001034,34484,4551.362218433547,245,"Texas","04000US48"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",45752.4854675909,1406.731292912745,263136,12429.004703461034,2254,"Texas","04000US48"
1,"Male",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",111208.64351739915,5227.555944922792,215068,11263.981127815743,2162,"Texas","04000US48"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",50248.15220783487,1576.304126449178,73058,6612.006185686778,720,"Texas","04000US48"
2,"Female",2016,"2016",1,"Full-time","412031","Retail salespersons",30191.930884553487,2928.933623485152,70838,6511.492539110156,591,"Texas","04000US48"
2,"Female",2016,"2016",1,"Full-time","412010","Cashiers",21198.357119433982,1562.5283954591735,100633,7749.469444838804,758,"Texas","04000US48"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",37883.56997525433,9739.536935964421,14548,2959.1270156186797,124,"Texas","04000US48"
2,"Female",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",82030.56941577759,5046.906012550068,103197,7846.5662549469,1023,"Texas","04000US48"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",45778.90630905072,884.9644718460414,261957,12401.871560666843,2736,"Texas","04000US48"
1,"Male",2016,"2016",1,"Full-time","412031","Retail salespersons",50456.48866295489,4288.531662581802,99144,7692.496195523416,861,"Texas","04000US48"
2,"Female",2015,"2015",1,"Full-time","412031","Retail salespersons",31821.09419839454,2656.2305269263757,75617,6725.656189969585,609,"Texas","04000US48"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",30071.15809584461,4562.684702889536,12562,2749.988902405437,105,"Texas","04000US48"
2,"Female",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",79034.09948029403,6008.106924265277,91013,7372.914600951232,930,"Texas","04000US48"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",45088.671528125604,897.2494518687661,253559,12204.835296766474,2651,"Texas","04000US48"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",48856.08391045007,2056.618371672851,64545,6217.253824228195,677,"Texas","04000US48"
1,"Male",2015,"2015",1,"Full-time","412031","Retail salespersons",47387.981533925595,3973.873818100651,103108,7842.7469261732285,913,"Texas","04000US48"
1,"Male",2015,"2015",1,"Full-time","412010","Cashiers",24560.428763864606,3172.2043632356904,34891,4577.957639052868,288,"Texas","04000US48"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",45211.76939635142,1506.1626207731322,268981,12560.560066730666,2248,"Texas","04000US48"
1,"Male",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",114515.00352496315,5363.946826937308,218442,11348.598457693453,2142,"Texas","04000US48"
2,"Female",2015,"2015",1,"Full-time","412010","Cashiers",19835.318982218036,1414.6591267820863,92397,7428.242333129209,739,"Texas","04000US48"
2,"Female",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",75152.94925636325,5136.512040744574,86198,7176.056001107426,872,"Texas","04000US48"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",33927.08966903583,5347.3419833122125,13929,2895.494901086724,133,"Texas","04000US48"
2,"Female",2014,"2014",1,"Full-time","412010","Cashiers",18272.898730499084,1097.9190821944342,99803,7716.167159872542,784,"Texas","04000US48"
2,"Female",2014,"2014",1,"Full-time","412031","Retail salespersons",29981.586597289726,3117.1977967470843,69956,6470.176329162178,581,"Texas","04000US48"
1,"Male",2014,"2014",1,"Full-time","412031","Retail salespersons",43182.28971712742,3657.2093960417624,93505,7471.186877197176,815,"Texas","04000US48"
1,"Male",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",51269.82818521373,2162.5877670334207,67468,6354.898565834952,707,"Texas","04000US48"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",44914.53660360894,1597.1038165177333,256696,12273.337880737605,2211,"Texas","04000US48"
1,"Male",2014,"2014",1,"Full-time","412010","Cashiers",21752.759078658553,2639.5652006417395,35991,4649.056467735453,268,"Texas","04000US48"
1,"Male",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",109048.86621797143,4731.7475124353605,203256,10952.158643568197,2055,"Texas","04000US48"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",44767.9015850485,725.6078511433485,253620,12201.566229456128,2720,"Texas","04000US48"
