ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
2,"Black",2017,"2017","true","true","119XXX","Miscellaneous managers",69171.76482912138,6422.316803925129,30548,4285.814751137684,226,"Texas","04000US48"
9,"Two or More Races",2017,"2017","true","true","412031","Retail salespersons",21091.920451755464,8820.370168625537,8146,2215.159608223947,64,"Texas","04000US48"
9,"Two or More Races",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",39007.47737720784,9268.471191131186,4133,1578.103411041847,45,"Texas","04000US48"
9,"Two or More Races",2017,"2017","true","true","119XXX","Miscellaneous managers",86430.5879851143,22866.284236439526,7524,2128.9627143686816,74,"Texas","04000US48"
9,"Two or More Races",2017,"2017","true","true","252020","Elementary & middle school teachers",45618.45045045045,5322.337122209748,6882,2036.1613305280418,72,"Texas","04000US48"
1,"White",2017,"2017","true","true","252020","Elementary & middle school teachers",43900.60040491731,1038.6577146964132,308705,13471.057979347164,3380,"Texas","04000US48"
1,"White",2017,"2017","true","true","119XXX","Miscellaneous managers",103115.9651310407,4519.679010037578,283576,12924.476787891166,2920,"Texas","04000US48"
1,"White",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",43602.26531979678,1817.9403650257418,235806,11808.79128887661,2091,"Texas","04000US48"
1,"White",2017,"2017","true","true","412010","Cashiers",14254.146975241454,946.648469397382,203041,10972.379923481674,1738,"Texas","04000US48"
1,"White",2017,"2017","true","true","412031","Retail salespersons",29707.689518927622,2133.340038545847,220445,11424.855114185406,1966,"Texas","04000US48"
8,"Other",2017,"2017","true","true","412031","Retail salespersons",23078.333333333332,4697.227654910822,15168,3021.8614854107377,118,"Texas","04000US48"
8,"Other",2017,"2017","true","true","412010","Cashiers",13979.814871123997,1762.3260581352379,28283,4124.243393322566,209,"Texas","04000US48"
8,"Other",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",61135.259297431934,16153.078866802209,23286,3742.9688945065554,184,"Texas","04000US48"
8,"Other",2017,"2017","true","true","119XXX","Miscellaneous managers",62098.334420526204,18332.315300047416,9198,2353.754625418021,70,"Texas","04000US48"
8,"Other",2017,"2017","true","true","252020","Elementary & middle school teachers",46176.73056057866,3984.4544408788524,8848,2308.5704999574573,77,"Texas","04000US48"
2,"Black",2017,"2017","true","true","252020","Elementary & middle school teachers",45789.25069407969,2361.4612693755794,39981,4901.218401768746,309,"Texas","04000US48"
9,"Two or More Races",2017,"2017","true","true","412010","Cashiers",12080.025889967637,2504.4330477908184,9888,2440.375659905998,84,"Texas","04000US48"
2,"Black",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",43733.76235925325,3232.6848015117375,54797,5734.513278799079,391,"Texas","04000US48"
2,"Black",2017,"2017","true","true","412010","Cashiers",12680.454003253208,2057.1284766037143,44264,5156.175622787142,293,"Texas","04000US48"
2,"Black",2017,"2017","true","true","412031","Retail salespersons",27765.597865327265,3803.121625414071,38226,4792.778105598633,247,"Texas","04000US48"
6,"Asian",2017,"2017","true","true","412031","Retail salespersons",22273.192485371113,4794.422952617723,12988,2796.530426119242,112,"Texas","04000US48"
6,"Asian",2017,"2017","true","true","412010","Cashiers",17982.32389580974,2829.3532053933545,17660,3260.335395650238,167,"Texas","04000US48"
6,"Asian",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",31556.04009383664,5573.3991826823885,4689,1680.866354669267,32,"Texas","04000US48"
6,"Asian",2017,"2017","true","true","119XXX","Miscellaneous managers",106579.45409080939,14261.603105547127,22795,3703.3702888578996,226,"Texas","04000US48"
6,"Asian",2017,"2017","true","true","252020","Elementary & middle school teachers",38660.868203566766,5446.976092397466,9196,2353.498901907776,91,"Texas","04000US48"
3,"American Indian",2017,"2017","true","true","252020","Elementary & middle school teachers",46913.518044237484,10576.616157390315,859,719.5423786448465,10,"Texas","04000US48"
3,"American Indian",2017,"2017","true","true","119XXX","Miscellaneous managers",111159.36563876653,130995.98049405882,681,640.6730448863386,12,"Texas","04000US48"
3,"American Indian",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",35400.39363241679,20068.862081003626,691,645.3595569554534,6,"Texas","04000US48"
3,"American Indian",2017,"2017","true","true","412010","Cashiers",11054.226020892687,5114.065093547045,1053,796.655578785652,10,"Texas","04000US48"
3,"American Indian",2017,"2017","true","true","412031","Retail salespersons",26122.09899328859,40173.71703912938,596,599.3596565294418,10,"Texas","04000US48"
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",2017,"2017","true","true","412010","Cashiers",11253.437543133196,5990.73564285739,1449,934.5094780197771,10,"Texas","04000US48"
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",40881.77647058824,6302.024080865603,680,640.2025063845731,6,"Texas","04000US48"
2,"Black",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",43656.83259618772,3236.55662475211,51098,5538.161519229932,361,"Texas","04000US48"
2,"Black",2016,"2016","true","true","412010","Cashiers",13895.551007355292,1206.8143964682483,50032,5480.329171808863,319,"Texas","04000US48"
2,"Black",2016,"2016","true","true","412031","Retail salespersons",29599.560872624912,8151.84228861468,28420,4134.095744981216,188,"Texas","04000US48"
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",2016,"2016","true","true","119XXX","Miscellaneous managers",69552.10296010296,25950.46594273486,777,684.3392389665339,6,"Texas","04000US48"
9,"Two or More Races",2016,"2016","true","true","412031","Retail salespersons",23398.316040548598,6427.755701409938,6708,2010.258456856737,64,"Texas","04000US48"
9,"Two or More Races",2016,"2016","true","true","412010","Cashiers",8437.140460265276,1915.367138261112,8821,2305.030421223093,78,"Texas","04000US48"
9,"Two or More Races",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",38072.23991726991,8522.382880773306,5802,1869.6502060736138,52,"Texas","04000US48"
9,"Two or More Races",2016,"2016","true","true","119XXX","Miscellaneous managers",86833.9925144607,28055.080535568195,5878,1881.8497143521395,56,"Texas","04000US48"
8,"Other",2016,"2016","true","true","252020","Elementary & middle school teachers",42941.74756532639,4293.814285844578,10371,2499.196861561707,100,"Texas","04000US48"
9,"Two or More Races",2016,"2016","true","true","252020","Elementary & middle school teachers",47803.62841530055,4514.350320402588,6588,1992.206269069164,64,"Texas","04000US48"
1,"White",2016,"2016","true","true","252020","Elementary & middle school teachers",43616.73318597835,927.8613895601026,305385,13396.63654501512,3320,"Texas","04000US48"
1,"White",2016,"2016","true","true","119XXX","Miscellaneous managers",102948.98398254908,4456.638311674431,272765,12678.291500878782,2843,"Texas","04000US48"
1,"White",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",43159.544862864896,1755.4999713504635,223247,11493.666064078026,2044,"Texas","04000US48"
1,"White",2016,"2016","true","true","412010","Cashiers",15735.880507004413,1400.5814068425339,206941,11073.48617486872,1740,"Texas","04000US48"
6,"Asian",2016,"2016","true","true","412031","Retail salespersons",25624.546088689585,8669.08838404411,10035,2458.4128739925677,85,"Texas","04000US48"
6,"Asian",2016,"2016","true","true","412010","Cashiers",20779.717791411043,7141.63032059813,15648,3069.202723520462,125,"Texas","04000US48"
