ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,"75 Years & Over",6051,"2017",28181,3700,"Austin, TX","16000US4805000","austin-tx","Native Born",0.029641932274059285
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6051,"2017",123858,8350,"Austin, TX","16000US4805000","austin-tx","Native Born",0.13027892720628917
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6051,"2017",82741,7676,"Austin, TX","16000US4805000","austin-tx","Native Born",0.08703037927284125
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6051,"2017",164386,12126,"Austin, TX","16000US4805000","austin-tx","Native Born",0.1729079407687275
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6051,"2017",110346,7788,"Austin, TX","16000US4805000","austin-tx","Native Born",0.11606645110937674
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,"45 to 54 Years",6051,"2017",83728,7449,"Austin, TX","16000US4805000","austin-tx","Native Born",0.08806854637672318
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,"55 to 59 Years",6051,"2017",40589,5632,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04269317586571777
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",21,"60 & 61 Years",6051,"2017",14902,3400,"Austin, TX","16000US4805000","austin-tx","Native Born",0.015674535138853536
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,"62 to 64 Years",6051,"2017",18889,4191,"Austin, TX","16000US4805000","austin-tx","Native Born",0.019868225354838575
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",27,"65 to 74 Years",6051,"2017",46788,5639,"Austin, TX","16000US4805000","austin-tx","Native Born",0.049213538456360166
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6051,"2017",58462,4795,"Austin, TX","16000US4805000","austin-tx","Native Born",0.061492730726590755
3,"Foreign Born",10,"75 Years & Over",2017,"2017",4497,1419,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.004730129145042568
3,"Foreign Born",9,"65 to 74 Years",2017,"2017",9932,1693,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.010446885183136042
3,"Foreign Born",8,"62 to 64 Years",2017,"2017",4601,1305,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.004839520612928809
3,"Foreign Born",7,"60 & 61 Years",2017,"2017",2949,1102,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0031018792191973613
3,"Foreign Born",6,"55 to 59 Years",2017,"2017",9404,2432,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.009891513115405894
3,"Foreign Born",5,"45 to 54 Years",2017,"2017",28859,2912,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.03035508049739459
3,"Foreign Born",4,"35 to 44 Years",2017,"2017",41927,3309,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.04410053917371575
3,"Foreign Born",3,"25 to 34 Years",2017,"2017",49674,4723,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.05224915169020336
3,"Foreign Born",2,"18 to 24 Years",2017,"2017",15035,2480,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.01581442999682344
3,"Foreign Born",1,"5 to 17 Years",2017,"2017",8903,2443,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.009364540755684676
3,"Foreign Born",0,"Under 5 Years",2017,"2017",2063,1144,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.002169948060089575
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,"45 to 54 Years",6048,"2016",87156,6939,"Austin, TX","16000US4805000","austin-tx","Native Born",0.09194669885019154
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,"75 Years & Over",6048,"2016",23317,3236,"Austin, TX","16000US4805000","austin-tx","Native Born",0.024598664200857268
