ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2017,"2017","04000US48","Texas",58591,4083.8987499692007,"Austin, TX","16000US4805000","austin-tx"
12,"Public Administration (Group)",19,"Public Administration",2017,"2017","04000US48","Texas",29054,2868.084378117213,"Austin, TX","16000US4805000","austin-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,"2017","04000US48","Texas",26993,3119.3462456098073,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,"2017","04000US48","Texas",2802,875.7271264497863,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017","04000US48","Texas",48958,3997.982741333434,"Austin, TX","16000US4805000","austin-tx"
1,"Construction (Group)",2,"Construction",2017,"2017","04000US48","Texas",41460,5012.6141882255415,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,"2017","04000US48","Texas",13123,2272.6429547995435,"Austin, TX","16000US4805000","austin-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2017,"2017","04000US48","Texas",41586,4264.17260438646,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017","04000US48","Texas",52161,4151.356043511566,"Austin, TX","16000US4805000","austin-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2017,"2017","04000US48","Texas",9351,1756.259661895131,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,"2017","04000US48","Texas",1548,722.4320037207654,"Austin, TX","16000US4805000","austin-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2017,"2017","04000US48","Texas",47784,3938.8273635690102,"Austin, TX","16000US4805000","austin-tx"
