ID Occupation Group 0,Occupation Group 0,ID Occupation Group 1,Occupation Group 1,ID Occupation Group 2,Occupation Group 2,ID Occupation Group 3,Occupation Group 3,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",11,"Arts, Design, Entertainment, Sports, & Media Occupations",34,"Art & Design Workers",2017,"2017","04000US48","Texas",9028,1758.7907777788694,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",16,"Material Moving Occupations",23,"Material Moving Occupations",26,"Material Moving Occupations",114,"Material Moving Workers Except Supervisors & Laborers & Material Movers, Hand",2017,"2017","04000US48","Texas",504,344.095916860401,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",0,"Top Executives",2017,"2017","04000US48","Texas",8369,1545.5743269089326,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",9,"Sales & Related Occupations",16,"Sales & Related Occupations",19,"Sales & Related Occupations",67,"First-Line Supervisors of Non-Retail Sales Workers",2017,"2017","04000US48","Texas",4222,1036.085421188813,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",9,"Sales & Related Occupations",16,"Sales & Related Occupations",19,"Sales & Related Occupations",69,"Retail Sales Workers Except Cashiers",2017,"2017","04000US48","Texas",9991,1956.408955203385,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",1,"Advertising, Marketing, Promotions, Public Relations, & Sales Managers",2017,"2017","04000US48","Texas",6334,1191.762140697547,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",16,"Material Moving Occupations",23,"Material Moving Occupations",26,"Material Moving Occupations",113,"Laborers & Material Movers, Hand",2017,"2017","04000US48","Texas",5457,1592.8744457740543,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",9,"Sales & Related Occupations",16,"Sales & Related Occupations",19,"Sales & Related Occupations",66,"First-Line Supervisors of Retail Sales Workers",2017,"2017","04000US48","Texas",11548,2177.2468854036742,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",9,"Sales & Related Occupations",16,"Sales & Related Occupations",19,"Sales & Related Occupations",70,"Sales Representatives, Services",2017,"2017","04000US48","Texas",10972,1846.2556702688823,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",2,"Financial Managers",2017,"2017","04000US48","Texas",3478,1063.5374934622662,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",112,"Other Transportation Workers",2017,"2017","04000US48","Texas",941,1083.616629625072,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",8,"Personal Care & Service Occupations",15,"Personal Care & Service Occupations",18,"Personal Care & Service Occupations",65,"Other Personal Care & Service Workers Except Personal Appearance, Baggage Porters, Concierges, & Child Care Workers",2017,"2017","04000US48","Texas",5941,1718.6861260858539,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",3,"Human Resources Managers",2017,"2017","04000US48","Texas",1450,708.7996896161849,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",8,"Personal Care & Service Occupations",15,"Personal Care & Service Occupations",18,"Personal Care & Service Occupations",64,"Child Care Workers",2017,"2017","04000US48","Texas",4695,1257.268865438097,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",9,"Sales & Related Occupations",16,"Sales & Related Occupations",19,"Sales & Related Occupations",71,"Sales Representatives, Wholesale & Manufacturing",2017,"2017","04000US48","Texas",5106,1474.2381083122225,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",4,"Operations Specialties Managers Except Financial Managers & Human Resources Managers",2017,"2017","04000US48","Texas",6727,1466.1012925442772,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",111,"Motor Vehicle Operators Except Bus & Truck Drivers",2017,"2017","04000US48","Texas",2700,1343.5214921987665,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",8,"Personal Care & Service Occupations",15,"Personal Care & Service Occupations",18,"Personal Care & Service Occupations",63,"Baggage Porters & Concierges, & Tour & Travel Guides",2017,"2017","04000US48","Texas",906,772.1813258555273,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",9,"Sales & Related Occupations",16,"Sales & Related Occupations",19,"Sales & Related Occupations",72,"Other Sales & Related Workers",2017,"2017","04000US48","Texas",9345,2017.9326054157507,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",5,"Farmers, Ranchers, & Other Agricultural Managers",2017,"2017","04000US48","Texas",818,602.7354311802152,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",110,"Driver/Sales Workers & Truck Drivers",2017,"2017","04000US48","Texas",9369,2146.4319229828834,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",8,"Personal Care & Service Occupations",15,"Personal Care & Service Occupations",18,"Personal Care & Service Occupations",62,"Personal Appearance Workers",2017,"2017","04000US48","Texas",3786,1183.953124072064,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",0,"Management Occupations",6,"Other Management Occupations Except Farmers, Ranchers, & Other Agricultural Managers",2017,"2017","04000US48","Texas",45440,3795.357822393035,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",8,"Personal Care & Service Occupations",15,"Personal Care & Service Occupations",18,"Personal Care & Service Occupations",61,"First-Line Supervisors of Personal Care & Service Workers",2017,"2017","04000US48","Texas",469,585.9701357577876,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",73,"First-Line Supervisors of Office & Administrative Support Workers",2017,"2017","04000US48","Texas",3630,1109.6170510586073,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",1,"Business & Financial Operations Occupations",7,"Human Resources Workers",2017,"2017","04000US48","Texas",4015,1415.407361857356,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",109,"Bus Drivers",2017,"2017","04000US48","Texas",1946,1294.3666404848357,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",7,"Building & Grounds Cleaning & Maintenance Occupations",14,"Building & Grounds Cleaning & Maintenance Occupations",17,"Building & Grounds Cleaning & Maintenance Occupations",60,"Grounds Maintenance Workers",2017,"2017","04000US48","Texas",4198,1706.5169205138282,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",74,"Communications Equipment Operators",2017,"2017","04000US48","Texas",145,174.26990560621763,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",1,"Business & Financial Operations Occupations",8,"Other Business Operations Specialists",2017,"2017","04000US48","Texas",16388,2295.799642826002,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",108,"Rail & Water Transportation Workers",2017,"2017","04000US48","Texas",345,343.77027212951384,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",7,"Building & Grounds Cleaning & Maintenance Occupations",14,"Building & Grounds Cleaning & Maintenance Occupations",17,"Building & Grounds Cleaning & Maintenance Occupations",59,"Building Cleaning & Pest Control Workers",2017,"2017","04000US48","Texas",12136,2432.924988568287,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2,"Financial Specialists",9,"Accountants & Auditors",2017,"2017","04000US48","Texas",7951,1321.7007982141797,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",7,"Building & Grounds Cleaning & Maintenance Occupations",14,"Building & Grounds Cleaning & Maintenance Occupations",17,"Building & Grounds Cleaning & Maintenance Occupations",58,"First-Line Supervisors of Landscaping, Lawn Service, & Groundskeeping Workers",2017,"2017","04000US48","Texas",386,471.1910440575033,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",75,"Financial Clerks Except Bookkeeping, Accounting, & Auditing Clerks",2017,"2017","04000US48","Texas",2769,948.4076127910405,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2,"Financial Specialists",10,"Other Financial Specialists",2017,"2017","04000US48","Texas",5279,1386.1118281004603,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",107,"Air Transportation Workers",2017,"2017","04000US48","Texas",778,509.8519392921831,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",7,"Building & Grounds Cleaning & Maintenance Occupations",14,"Building & Grounds Cleaning & Maintenance Occupations",17,"Building & Grounds Cleaning & Maintenance Occupations",57,"First-Line Supervisors of Housekeeping & Janitorial Workers",2017,"2017","04000US48","Texas",531,450.40537296972826,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",76,"Bookkeeping, Accounting, & Auditing Clerks",2017,"2017","04000US48","Texas",3637,1273.3145722876181,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",3,"Computer Occupations",11,"Computer & Information Research Scientists & Analysts",2017,"2017","04000US48","Texas",4383,1564.8658089433738,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",15,"Transportation Occupations",22,"Transportation Occupations",25,"Transportation Occupations",106,"Supervisors of Transportation & Material Moving Workers",2017,"2017","04000US48","Texas",253,217.80725424099168,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",6,"Food Preparation & Serving Related Occupations",13,"Food Preparation & Serving Related Occupations",16,"Food Preparation & Serving Related Occupations",56,"Other Food Preparation & Serving Related Workers",2017,"2017","04000US48","Texas",4093,1355.817096809153,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",3,"Computer Occupations",12,"Software Developers & Programmers",2017,"2017","04000US48","Texas",20561,2275.3929330996875,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",77,"Information & Record Clerks Except Customer Service Representatives",2017,"2017","04000US48","Texas",8641,1845.644873750094,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",6,"Food Preparation & Serving Related Occupations",13,"Food Preparation & Serving Related Occupations",16,"Food Preparation & Serving Related Occupations",55,"Food & Beverage Serving Workers Except Waiters/Waitresses",2017,"2017","04000US48","Texas",6123,1751.310366554141,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",3,"Computer Occupations",13,"Database & Systems Administrators & Network Architects",2017,"2017","04000US48","Texas",3358,1026.5485862831822,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",14,"Production Occupations",21,"Production Occupations",24,"Production Occupations",105,"Other Production Occupations",2017,"2017","04000US48","Texas",4805,1557.562197795003,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",6,"Food Preparation & Serving Related Occupations",13,"Food Preparation & Serving Related Occupations",16,"Food Preparation & Serving Related Occupations",54,"Waiters & Waitresses",2017,"2017","04000US48","Texas",9617,1981.0668842823052,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",78,"Customer Service Representatives",2017,"2017","04000US48","Texas",12282,2056.01191630788,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",3,"Computer Occupations",14,"Miscellaneous Computer Occupations, Including Computer Support Specialists",2017,"2017","04000US48","Texas",7889,1888.0828901295622,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",14,"Production Occupations",21,"Production Occupations",24,"Production Occupations",104,"Plant & System Operators",2017,"2017","04000US48","Texas",497,506.69616142220775,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",6,"Food Preparation & Serving Related Occupations",13,"Food Preparation & Serving Related Occupations",16,"Food Preparation & Serving Related Occupations",53,"Cooks & Food Preparation Workers",2017,"2017","04000US48","Texas",11492,2096.2340041130906,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",4,"Computer & Mathematical Occupations",15,"Mathematical Science Occupations",2017,"2017","04000US48","Texas",2232,860.9587678861282,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",79,"Material Recording, Scheduling, Dispatching, & Distributing Workers",2017,"2017","04000US48","Texas",8333,1835.6157005212174,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",6,"Food Preparation & Serving Related Occupations",13,"Food Preparation & Serving Related Occupations",16,"Food Preparation & Serving Related Occupations",52,"First-Line Supervisors of Food Preparation & Serving Workers",2017,"2017","04000US48","Texas",5251,1502.4573205252786,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",5,"Architecture & Engineering Occupations",16,"Architects, Surveyors, & Cartographers",2017,"2017","04000US48","Texas",2618,973.7951529967688,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",14,"Production Occupations",21,"Production Occupations",24,"Production Occupations",103,"Woodworkers",2017,"2017","04000US48","Texas",376,649.234934365057,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",5,"Protective Service Occupations",12,"Protective Service Occupations",15,"Protective Service Occupations",51,"Other Protective Service Workers",2017,"2017","04000US48","Texas",3479,1045.6160863337939,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",10,"Office & Administrative Support Occupations",17,"Office & Administrative Support Occupations",20,"Office & Administrative Support Occupations",80,"Secretaries & Administrative Assistants",2017,"2017","04000US48","Texas",6615,1426.76767555198,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",5,"Architecture & Engineering Occupations",17,"Engineers",2017,"2017","04000US48","Texas",12944,2141.3848322989493,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",14,"Production Occupations",21,"Production Occupations",24,"Production Occupations",102,"Textile, Apparel, & Furnishings Workers",2017,"2017","04000US48","Texas",601,371.34485320251844,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",5,"Protective Service Occupations",12,"Protective Service Occupations",15,"Protective Service Occupations",50,"Law Enforcement Workers",2017,"2017","04000US48","Texas",1352,780.2832818919037,"Austin, TX","16000US4805000","austin-tx"
