ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $10,000",2017,"2017",1000376,16112,"United States","01000US","united-states",0.0130454301442577
25,"$2,000,000 or More",2017,"2017",2224,832,"Austin, TX","16000US4805000","austin-tx",0.013137142553354873
2,"$15,000 to $19,999",2017,"2017",484108,10315,"United States","01000US","united-states",0.006313023399478103
3,"$20,000 to $24,999",2017,"2017",537939,9802,"United States","01000US","united-states",0.007015008003362578
4,"$25,000 to $29,999",2017,"2017",495363,10768,"United States","01000US","united-states",0.006459794529806719
5,"$30,000 to $34,999",2017,"2017",596891,10224,"United States","01000US","united-states",0.007783773145533402
6,"$35,000 to $39,999",2017,"2017",447506,11066,"United States","01000US","united-states",0.00583571403365953
7,"$40,000 to $49,999",2017,"2017",1167440,17521,"United States","01000US","united-states",0.015224032731305237
8,"$50,000 to $59,999",2017,"2017",1398870,16934,"United States","01000US","united-states",0.018242001873193445
9,"$60,000 to $69,999",2017,"2017",1668358,21640,"United States","01000US","united-states",0.02175626738807557
10,"$70,000 to $79,999",2017,"2017",1920286,23629,"United States","01000US","united-states",0.025041541250485858
11,"$80,000 to $89,999",2017,"2017",2233308,25236,"United States","01000US","united-states",0.029123513063699924
12,"$90,000 to $99,999",2017,"2017",1944367,22779,"United States","01000US","united-states",0.02535557017891264
13,"$100,000 to $124,999",2017,"2017",5247464,38317,"United States","01000US","united-states",0.06842969548100622
14,"$125,000 to $149,999",2017,"2017",4961614,39059,"United States","01000US","united-states",0.06470206086488582
15,"$150,000 to $174,999",2017,"2017",6230138,45018,"United States","01000US","united-states",0.08124428221797142
16,"$175,000 to $199,999",2017,"2017",4565691,32837,"United States","01000US","united-states",0.05953901633062576
17,"$200,000 to $249,999",2017,"2017",8224555,52921,"United States","01000US","united-states",0.10725253076853641
18,"$250,000 to $299,999",2017,"2017",6839596,44521,"United States","01000US","united-states",0.0891919356651343
19,"$300,000 to $399,999",2017,"2017",9287497,46433,"United States","01000US","united-states",0.12111385451920373
20,"$400,000 to $499,999",2017,"2017",5516286,31748.999999999996,"United States","01000US","united-states",0.07193527600496886
21,"$500,000 to $749,999",2017,"2017",6283285,42388,"United States","01000US","united-states",0.08193734710145209
22,"$750,000 to $999,999",2017,"2017",2488501,20115,"United States","01000US","united-states",0.03245136424645876
