ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
14,"$130-140k",2017,"2017","true","true",1219921,27004.73137246179,12557,"United States","01000US","united-states",0.008258473881690622
21,"$200k+",2017,"2017","true","true",292893,13130.056697512044,3277,"Texas","04000US48",,0.023494501120567692
20,"$190-200k",2017,"2017","true","true",16152,3118.2173600567003,193,"Texas","04000US48",,0.0012956375949558692
2,"$10-20k",2017,"2017","true","true",19419097,100828.64289688613,174077,"United States","01000US","united-states",0.13146105803614883
3,"$20-30k",2017,"2017","true","true",21457270,105142.74272995506,190148,"United States","01000US","united-states",0.14525883550441684
19,"$180-190k",2017,"2017","true","true",38667,4820.259605931872,408,"Texas","04000US48",,0.0031016851711341375
4,"$30-40k",2017,"2017","true","true",19361189,100700.91268385526,177684,"United States","01000US","united-states",0.13106903945007567
5,"$40-50k",2017,"2017","true","true",15445707,91305.36525570572,147128,"United States","01000US","united-states",0.10456248219658978
18,"$170-180k",2017,"2017","true","true",37423,4742.32402509472,405,"Texas","04000US48",,0.0030018973325924648
6,"$50-60k",2017,"2017","true","true",12473792,82969.13568236122,121810,"United States","01000US","united-states",0.08444357088503388
7,"$60-70k",2017,"2017","true","true",9664187,73784.45296739333,94850,"United States","01000US","united-states",0.06542344621272528
17,"$160-170k",2017,"2017","true","true",47938,5365.103382646109,516,"Texas","04000US48",,0.003845361257243342
8,"$70-80k",2017,"2017","true","true",6984904,63333.91769854133,69155,"United States","01000US","united-states",0.04728555967977955
9,"$80-90k",2017,"2017","true","true",5296939,55482.703566872966,53128,"United States","01000US","united-states",0.03585857804268345
16,"$150-160k",2017,"2017","true","true",109875,8102.1794437937215,1111,"Texas","04000US48",,0.008813656559297679
10,"$90-100k",2017,"2017","true","true",3572079,45837.37479503777,36121,"United States","01000US","united-states",0.024181829089617732
11,"$100-110k",2017,"2017","true","true",3805887,47275.33868504415,38504,"United States","01000US","united-states",0.025764634255960733
15,"$140-150k",2017,"2017","true","true",69732,6465.063286265055,750,"Texas","04000US48",,0.005593573599025673
12,"$110-120k",2017,"2017","true","true",1888638,33523.927212948234,19264,"United States","01000US","united-states",0.012785473481453645
13,"$120-130k",2017,"2017","true","true",2195301,36105.25742966405,22483,"United States","01000US","united-states",0.014861483629636102
14,"$130-140k",2017,"2017","true","true",93026,7460.200160563009,1006,"Texas","04000US48",,0.007462108897248928
1,"< $10K",2017,"2017","true","true",17420601,96240.39310153254,169617,"United States","01000US","united-states",0.11793188113152697
15,"$140-150k",2017,"2017","true","true",904007,23271.676250956258,9403,"United States","01000US","united-states",0.006119837430756166
13,"$120-130k",2017,"2017","true","true",188618,10581.707916051086,1937,"Texas","04000US48",,0.01513005026531613
16,"$150-160k",2017,"2017","true","true",1245986,27289.272032850113,12803,"United States","01000US","united-states",0.008434925571370745
17,"$160-170k",2017,"2017","true","true",627113,19400.987294806786,6576,"United States","01000US","united-states",0.004245353864199937
12,"$110-120k",2017,"2017","true","true",148444,9402.749984255417,1537,"Texas","04000US48",,0.011907480630611011
18,"$170-180k",2017,"2017","true","true",492628,17203.18751251523,5160,"United States","01000US","united-states",0.0033349335501147103
19,"$180-190k",2017,"2017","true","true",457330,16577.394719768054,4758,"United States","01000US","united-states",0.0030959774119091086
11,"$100-110k",2017,"2017","true","true",309101,13479.475868072801,3138,"Texas","04000US48",,0.024794630772564025
20,"$190-200k",2017,"2017","true","true",234915,11890.07321834177,2515,"United States","01000US","united-states",0.0015902992012739778
21,"$200k+",2017,"2017","true","true",3549995,45698.963043847754,38084,"United States","01000US","united-states",0.024032327493036267
10,"$90-100k",2017,"2017","true","true",289708,13060.17976077454,2888,"Texas","04000US48",,0.023239015376391465
1,"< $10K",2017,"2017","true","true",1441169,27717.601465545395,13117,"Texas","04000US48",,0.11560380987400662
2,"$10-20k",2017,"2017","true","true",1760278,30186.38416339336,15014,"Texas","04000US48",,0.1412012354119445
9,"$80-90k",2017,"2017","true","true",399508,15267.386888207619,4001,"Texas","04000US48",,0.0320466557878671
3,"$20-30k",2017,"2017","true","true",1912446,31239.679782228257,16074,"Texas","04000US48",,0.15340743783574617
4,"$30-40k",2017,"2017","true","true",1602146,29010.509479438726,13987,"Texas","04000US48",,0.1285166289133337
8,"$70-80k",2017,"2017","true","true",544626,17718.375296585255,5274,"Texas","04000US48",,0.043687340316396435
5,"$40-50k",2017,"2017","true","true",1251155,26047.393175235884,11480,"Texas","04000US48",,0.10036177904389613
6,"$50-60k",2017,"2017","true","true",1124053,24828.425168493337,10537,"Texas","04000US48",,0.0901662534375266
7,"$60-70k",2017,"2017","true","true",789491,21112.60522614748,7533,"Texas","04000US48",,0.06332926080233434
14,"$130-140k",2016,"2016","true","true",88619,7282.083199960324,853,"Texas","04000US48",,0.007261394893482362
15,"$140-150k",2016,"2016","true","true",852847,22606.473643118465,8803,"United States","01000US","united-states",0.005865829421603112
8,"$70-80k",2016,"2016","true","true",6593885,61598.05507731842,65409,"United States","01000US","united-states",0.045352337096416395
19,"$180-190k",2016,"2016","true","true",39453,4868.684733747072,395,"Texas","04000US48",,0.003232758355799091
16,"$150-160k",2016,"2016","true","true",1162540,26365.46584644178,12020,"United States","01000US","united-states",0.007995878904176811
17,"$160-170k",2016,"2016","true","true",44726,5182.717296381869,465,"Texas","04000US48",,0.0036648252407033718
13,"$120-130k",2016,"2016","true","true",173340,10148.872931985294,1798,"Texas","04000US48",,0.014203389688850388
17,"$160-170k",2016,"2016","true","true",552650,18216.83297005377,5816,"United States","01000US","united-states",0.003801092845315701
9,"$80-90k",2016,"2016","true","true",5084130,54381.835774797495,50617,"United States","01000US","united-states",0.034968334692219154
5,"$40-50k",2016,"2016","true","true",15123581,90375.65578668928,144076,"United States","01000US","united-states",0.1040190636653442
18,"$170-180k",2016,"2016","true","true",455511,16544.087104769496,4674,"United States","01000US","united-states",0.0031329767539357645
3,"$20-30k",2016,"2016","true","true",21371186,104825.32227211524,188687,"United States","01000US","united-states",0.1469897081344632
12,"$110-120k",2016,"2016","true","true",144563,9279.312042120828,1430,"Texas","04000US48",,0.011845417235429092
19,"$180-190k",2016,"2016","true","true",415815,15808.94594766273,4371,"United States","01000US","united-states",0.0028599500976656984
10,"$90-100k",2016,"2016","true","true",3440709,44998.513019947735,34935,"United States","01000US","united-states",0.023664985728242723
2,"$10-20k",2016,"2016","true","true",20389119,102793.07112297037,179785,"United States","01000US","united-states",0.1402351114687242
20,"$190-200k",2016,"2016","true","true",215272,11382.739031198564,2232,"United States","01000US","united-states",0.0014806276286923037
16,"$150-160k",2016,"2016","true","true",91457,7396.90120365907,975,"Texas","04000US48",,0.00749393914141681
11,"$100-110k",2016,"2016","true","true",286007,12975.186487967696,2897,"Texas","04000US48",,0.023435265228677934
21,"$200k+",2016,"2016","true","true",3246899,43742.62632939787,35081,"United States","01000US","united-states",0.022331972420813723
