,Year,Age,White Male,White Female,Black Male,Black Female,Hispanic Male,Hispanic Female
0,2017,< 05,15336,14590,3231,3159,19631,18786
1,2017,05-09,14209,13366,3066,2965,19100,18416
2,2017,10-14,13381,12563,3158,3087,18115,17388
3,2017,15-19,13211,12983,3576,3263,17636,16457
4,2017,20-24,17553,17309,3970,3921,17325,17012
5,2017,25-29,26032,23565,3862,4107,20358,19591
6,2017,30-34,29362,29874,3793,3878,20575,17879
7,2017,35-39,27512,25960,3982,3907,18341,16749
8,2017,40-44,24037,21532,3528,3534,16274,15330
9,2017,45-49,23801,21295,3498,3599,13616,12949
10,2017,50-54,20093,19288,3387,3620,10797,10410
11,2017,55-59,20412,20716,3295,3424,8715,8804
12,2017,60-64,18202,19619,2701,2934,6068,6684
13,2017,65-69,14399,15315,1806,2154,3815,4493
14,2017,70-74,9187,10213,886,1205,2236,2717
15,2017,75-79,5080,6353,517,838,1240,1822
16,2017,80-84,3300,4587,349,590,768,1242
17,2017,85-89,2109,3491,152,355,406,706
18,2017,90-94,862,1990,51,171,148,343
19,2017,95+,207,644,15,66,39,112
20,2016,< 05,16580,15735,3408,3384,21343,20317
21,2016,05-09,14847,13714,3032,3041,20028,19363
22,2016,10-14,13030,12203,3054,2987,18618,17692
23,2016,15-19,12834,12439,3539,3280,18132,17174
24,2016,20-24,16220,15531,3792,3980,19790,18439
25,2016,25-29,20635,21005,3235,3671,21395,18693
26,2016,30-34,31148,33236,3330,3406,21087,18509
27,2016,35-39,30393,29047,3318,3408,17815,16032
28,2016,40-44,22589,19430,2915,3060,15144,14086
29,2016,45-49,20256,18356,2968,3103,12003,11644
30,2016,50-54,18545,17891,2987,3209,9941,9564
31,2016,55-59,18974,18967,2972,3057,7990,8037
32,2016,60-64,17028,17714,2322,2484,5437,5857
33,2016,65-69,13855,13909,1591,1893,3688,4165
34,2016,70-74,8398,8895,875,1142,2099,2607
35,2016,75-79,4677,5682,482,786,1185,1751
36,2016,80-84,2992,3950,327,559,723,1133
37,2016,85+,2878,5245,200,518,534,973
38,2015,< 05,16305,15462,3337,3304,21342,20347
39,2015,05-09,14284,13216,3005,3006,19471,18851
40,2015,10-14,12910,12050,3101,3003,18271,17380
41,2015,15-19,12796,12489,3523,3265,17268,16353
42,2015,20-24,16863,16113,3760,4115,19580,18117
43,2015,25-29,22066,23064,3229,3563,21325,18408
44,2015,30-34,30954,31771,3357,3380,20332,18105
45,2015,35-39,28410,26642,3187,3348,17426,15637
46,2015,40-44,22348,19260,2979,3108,14722,13662
47,2015,45-49,19504,17889,2891,3090,11379,11033
48,2015,50-54,19128,18571,3065,3221,9642,9331
49,2015,55-59,18996,19139,2937,2993,7604,7617
50,2015,60-64,16860,17441,2169,2385,5009,5499
51,2015,65-69,13221,13212,1468,1719,3419,3840
52,2015,70-74,7817,8440,806,1112,1908,2438
53,2015,75-79,4431,5503,478,757,1116,1646
54,2015,80-84,3031,3956,315,544,698,1071
55,2015,85+,2795,5286,189,509,505,940
56,2014,< 05,15722,14788,3159,3160,20969,20075
57,2014,05-09,13503,12703,2953,2932,18699,18045
58,2014,10-14,12733,11753,3136,2981,17582,16817
59,2014,15-19,12548,12359,3439,3242,16193,15337
60,2014,20-24,17461,16779,3677,4143,19209,17601
61,2014,25-29,23328,24454,3222,3408,20948,17952
62,2014,30-34,29749,29633,3323,3356,19436,17457
63,2014,35-39,26271,24159,3055,3220,16714,15017
64,2014,40-44,22035,19134,2958,3114,14037,13082
65,2014,45-49,18710,17368,2852,3056,10829,10388
66,2014,50-54,19312,18875,3059,3174,9158,8856
67,2014,55-59,18680,18939,2806,2860,7017,7142
68,2014,60-64,16368,16771,1993,2307,4590,5122
69,2014,65-69,12175,12307,1299,1531,3084,3468
70,2014,70-74,7221,7876,747,1066,1743,2245
71,2014,75-79,4281,5282,483,733,1060,1574
72,2014,80-84,2982,4001,299,526,653,981
73,2014,85+,2693,5218,180,503,463,886
74,2013,< 05,15851,15066,2994,2945,20229,19432
75,2013,05-09,13350,12564,2955,2948,18419,17860
76,2013,10-14,12547,11689,3232,3000,17064,16254
77,2013,15-19,12606,12410,3439,3285,15498,14695
78,2013,20-24,18629,17855,3605,4092,19240,17454
79,2013,25-29,24422,25579,3225,3436,20642,17850
80,2013,30-34,28614,27816,3333,3341,18812,16801
81,2013,35-39,24728,22339,2993,3116,16129,14589
82,2013,40-44,21979,19338,2952,3164,13500,12597
83,2013,45-49,18660,17459,2926,3149,10570,9993
84,2013,50-54,19614,19310,3039,3111,8817,8500
85,2013,55-59,18681,19045,2684,2804,6530,6741
86,2013,60-64,16000,16258,1908,2196,4336,4800
87,2013,65-69,11545,11722,1150,1414,2824,3201
88,2013,70-74,6690,7373,726,1000,1616,2124
89,2013,75-79,4244,5212,505,720,1011,1507
90,2013,80-84,3047,4144,277,533,636,925
91,2013,85+,2759,5431,186,512,442,875
92,2012,< 05,15102,14192,2940,2911,19239,18572
93,2012,05-09,13281,12555,2946,2977,18143,17612
94,2012,10-14,12414,11646,3275,2988,16194,15357
95,2012,15-19,13352,13105,3502,3409,14725,14087
96,2012,20-24,19574,18918,3444,3963,18593,16791
97,2012,25-29,24282,24806,3240,3413,19531,16930
98,2012,30-34,25827,24179,3225,3278,18009,15960
99,2012,35-39,22789,20245,2913,3045,15654,14121
100,2012,40-44,22016,19567,2961,3146,12851,12004
101,2012,45-49,19003,18034,2937,3216,10336,9620
102,2012,50-54,19937,19796,2960,3076,8400,8110
103,2012,55-59,18650,19208,2521,2672,5984,6273
104,2012,60-64,15788,15865,1798,2068,4121,4488
105,2012,65-69,10829,11048,1026,1301,2549,2946
106,2012,70-74,6173,6966,660,958,1473,1991
107,2012,75-79,4154,5090,496,706,960,1409
108,2012,80-84,3034,4244,278,522,604,885
109,2012,85+,2581,5149,182,516,425,840
110,2011,< 05,14536,13605,2943,2919,19151,18624
111,2011,05-09,13050,12359,2940,2919,17620,16910
112,2011,10-14,12027,11337,3258,2982,15477,14651
113,2011,15-19,12987,12701,3432,3381,14626,13859
114,2011,20-24,20825,20763,3337,3907,18968,16873
115,2011,25-29,25552,25471,3294,3443,19481,17080
116,2011,30-34,25190,23309,3136,3195,17539,15576
117,2011,35-39,22253,19439,2872,3030,15010,13573
118,2011,40-44,21104,19026,2938,3090,12017,11293
119,2011,45-49,19216,18387,2973,3216,9971,9337
120,2011,50-54,19766,19668,2911,3031,7904,7726
121,2011,55-59,18110,18707,2351,2503,5533,5778
122,2011,60-64,15219,15104,1676,1962,3833,4180
123,2011,65-69,9586,9860,971,1221,2266,2700
124,2011,70-74,5590,6504,608,899,1354,1882
125,2011,75-79,4043,4946,474,702,914,1320
126,2011,80-84,2927,4261,254,481,551,862
127,2011,85+,2510,5066,171,503,392,765
