,Industry,ID Group,Group,ID Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,Educational Services,9,"Educational Services, & Health Care & Social Assistance",14,2017,2017,04000US48,Texas,58591,4083.898749969201,"Austin, TX",16000US4805000,austin-tx
1,Accommodation & Food Services,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,2017,2017,04000US48,Texas,48958,3997.9827413334338,"Austin, TX",16000US4805000,austin-tx
2,Construction,1,Construction (Group),2,2017,2017,04000US48,Texas,41460,5012.614188225542,"Austin, TX",16000US4805000,austin-tx
3,"Arts, Entertainment, & Recreation",10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,2017,2017,04000US48,Texas,13123,2272.6429547995435,"Austin, TX",16000US4805000,austin-tx
4,Manufacturing,2,Manufacturing (Group),3,2017,2017,04000US48,Texas,41586,4264.17260438646,"Austin, TX",16000US4805000,austin-tx
5,Health Care & Social Assistance,9,"Educational Services, & Health Care & Social Assistance",15,2017,2017,04000US48,Texas,52161,4151.356043511566,"Austin, TX",16000US4805000,austin-tx
6,Retail Trade,4,Retail Trade (Group),5,2017,2017,04000US48,Texas,47784,3938.8273635690093,"Austin, TX",16000US4805000,austin-tx
7,Transportation & Warehousing,5,"Transportation & Warehousing, & Utilities",6,2017,2017,04000US48,Texas,17502,3318.8535671222376,"Austin, TX",16000US4805000,austin-tx
8,"Professional, Scientific, & Technical Services",8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,2017,2017,04000US48,Texas,75427,4561.085177893524,"Austin, TX",16000US4805000,austin-tx
9,Information,6,Information (Group),8,2017,2017,04000US48,Texas,19041,2643.342013436778,"Austin, TX",16000US4805000,austin-tx
10,Real Estate & Rental & Leasing,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,2017,2017,04000US48,Texas,18199,2840.957057049613,"Austin, TX",16000US4805000,austin-tx
11,Construction,1,Construction (Group),2,2016,2016,04000US48,Texas,42818,4589.525901441238,"Austin, TX",16000US4805000,austin-tx
12,Educational Services,9,"Educational Services, & Health Care & Social Assistance",14,2016,2016,04000US48,Texas,53372,4037.403125772803,"Austin, TX",16000US4805000,austin-tx
13,Retail Trade,4,Retail Trade (Group),5,2016,2016,04000US48,Texas,60380,5674.609061424408,"Austin, TX",16000US4805000,austin-tx
14,Transportation & Warehousing,5,"Transportation & Warehousing, & Utilities",6,2016,2016,04000US48,Texas,13855,2491.3620772581407,"Austin, TX",16000US4805000,austin-tx
15,"Arts, Entertainment, & Recreation",10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,2016,2016,04000US48,Texas,14465,2246.04942064951,"Austin, TX",16000US4805000,austin-tx
16,Manufacturing,2,Manufacturing (Group),3,2016,2016,04000US48,Texas,40325,3453.9999999999995,"Austin, TX",16000US4805000,austin-tx
17,"Professional, Scientific, & Technical Services",8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,2016,2016,04000US48,Texas,73817,4389.880408393832,"Austin, TX",16000US4805000,austin-tx
18,Information,6,Information (Group),8,2016,2016,04000US48,Texas,18153,2250.995335401653,"Austin, TX",16000US4805000,austin-tx
19,Health Care & Social Assistance,9,"Educational Services, & Health Care & Social Assistance",15,2016,2016,04000US48,Texas,52837,4006.8692267155407,"Austin, TX",16000US4805000,austin-tx
20,Real Estate & Rental & Leasing,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,2016,2016,04000US48,Texas,14731,2511.207677592596,"Austin, TX",16000US4805000,austin-tx
21,Accommodation & Food Services,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,2016,2016,04000US48,Texas,42693,4539.8349088926125,"Austin, TX",16000US4805000,austin-tx
22,Retail Trade,4,Retail Trade (Group),5,2015,2015,04000US48,Texas,51032,4759.313500915861,"Austin, TX",16000US4805000,austin-tx
23,"Professional, Scientific, & Technical Services",8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,2015,2015,04000US48,Texas,67525,4448.238415372989,"Austin, TX",16000US4805000,austin-tx
24,Information,6,Information (Group),8,2015,2015,04000US48,Texas,17161,2109.9405204886702,"Austin, TX",16000US4805000,austin-tx
25,Transportation & Warehousing,5,"Transportation & Warehousing, & Utilities",6,2015,2015,04000US48,Texas,12567,1857.8708243578185,"Austin, TX",16000US4805000,austin-tx
26,Educational Services,9,"Educational Services, & Health Care & Social Assistance",14,2015,2015,04000US48,Texas,51390,3535.5685539952415,"Austin, TX",16000US4805000,austin-tx
27,Real Estate & Rental & Leasing,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,2015,2015,04000US48,Texas,15159,2093.2008981461863,"Austin, TX",16000US4805000,austin-tx
28,Health Care & Social Assistance,9,"Educational Services, & Health Care & Social Assistance",15,2015,2015,04000US48,Texas,52104,4212.504243321307,"Austin, TX",16000US4805000,austin-tx
29,"Arts, Entertainment, & Recreation",10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,2015,2015,04000US48,Texas,13090,1961.4140307441464,"Austin, TX",16000US4805000,austin-tx
30,Manufacturing,2,Manufacturing (Group),3,2015,2015,04000US48,Texas,35522,3180.589253581795,"Austin, TX",16000US4805000,austin-tx
31,Accommodation & Food Services,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,2015,2015,04000US48,Texas,48195,4124.081109774636,"Austin, TX",16000US4805000,austin-tx
32,Construction,1,Construction (Group),2,2015,2015,04000US48,Texas,39977,5039.508904645371,"Austin, TX",16000US4805000,austin-tx
33,Real Estate & Rental & Leasing,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,2014,2014,04000US48,Texas,13691,2069.136293239283,"Austin, TX",16000US4805000,austin-tx
34,Health Care & Social Assistance,9,"Educational Services, & Health Care & Social Assistance",15,2014,2014,04000US48,Texas,49362,3806.9541631072993,"Austin, TX",16000US4805000,austin-tx
35,"Arts, Entertainment, & Recreation",10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,2014,2014,04000US48,Texas,10772,1794.4024074883537,"Austin, TX",16000US4805000,austin-tx
