"Year","Area Name","Area Code","Age","White Male","White Female","Black Male","Black Female","Hispanic Male","Hispanic Female","Asian Male","Asian Female","Other w Asian Male","Other w Asian Female","Other w/o Asian Male","Other w/o Asian Female"
"2017","Travis","453","< 05","15,336","14,590","3,231","3,159","19,631","18,786","2,522","2,361","4,623","4,317","2,101","1,956"
"2017","Travis","453","05-09","14,209","13,366","3,066","2,965","19,100","18,416","2,366","2,280","4,083","4,020","1,717","1,740"
"2017","Travis","453","10-14","13,381","12,563","3,158","3,087","18,115","17,388","2,235","2,237","3,682","3,661","1,447","1,424"
"2017","Travis","453","15-19","13,211","12,983","3,576","3,263","17,636","16,457","2,209","2,377","3,405","3,544","1,196","1,167"
"2017","Travis","453","20-24","17,553","17,309","3,970","3,921","17,325","17,012","3,248","3,122","4,281","4,190","1,033","1,068"
"2017","Travis","453","25-29","26,032","23,565","3,862","4,107","20,358","19,591","4,137","3,564","5,487","5,006","1,350","1,442"
"2017","Travis","453","30-34","29,362","29,874","3,793","3,878","20,575","17,879","4,500","3,679","5,756","5,052","1,256","1,373"
"2017","Travis","453","35-39","27,512","25,960","3,982","3,907","18,341","16,749","2,969","3,795","4,186","5,178","1,217","1,383"
"2017","Travis","453","40-44","24,037","21,532","3,528","3,534","16,274","15,330","3,705","3,812","4,776","4,889","1,071","1,077"
"2017","Travis","453","45-49","23,801","21,295","3,498","3,599","13,616","12,949","3,129","3,299","4,041","4,115","912","816"
"2017","Travis","453","50-54","20,093","19,288","3,387","3,620","10,797","10,410","2,470","2,400","3,136","3,073","666","673"
"2017","Travis","453","55-59","20,412","20,716","3,295","3,424","8,715","8,804","1,697","1,897","2,300","2,510","603","613"
"2017","Travis","453","60-64","18,202","19,619","2,701","2,934","6,068","6,684","1,273","1,603","1,764","2,112","491","509"
"2017","Travis","453","65-69","14,399","15,315","1,806","2,154","3,815","4,493","932","1,233","1,260","1,583","328","350"
"2017","Travis","453","70-74","9,187","10,213","886","1,205","2,236","2,717","616","695","742","868","126","173"
"2017","Travis","453","75-79","5,080","6,353","517","838","1,240","1,822","452","443","517","517","65","74"
"2017","Travis","453","80-84","3,300","4,587","349","590","768","1,242","209","292","243","338","34","46"
"2017","Travis","453","85-89","2,109","3,491","152","355","406","706","113","156","125","178","12","22"
"2017","Travis","453","90-94","862","1,990","51","171","148","343","35","56","40","63","5","7"
"2017","Travis","453","95+","207","644","15","66","39","112","9","16","10","20","1","4"
"2016","Travis","453","< 05","16,580","15,735","3,408","3,384","21,343","20,317","N/A","N/A","5,133","4,704","N/A","N/A"
"2016","Travis","453","05-09","14,847","13,714","3,032","3,041","20,028","19,363","N/A","N/A","4,288","4,266","N/A","N/A"
"2016","Travis","453","10-14","13,030","12,203","3,054","2,987","18,618","17,692","N/A","N/A","3,643","3,793","N/A","N/A"
"2016","Travis","453","15-19","12,834","12,439","3,539","3,280","18,132","17,174","N/A","N/A","3,874","3,854","N/A","N/A"
"2016","Travis","453","20-24","16,220","15,531","3,792","3,980","19,790","18,439","N/A","N/A","5,358","5,069","N/A","N/A"
"2016","Travis","453","25-29","20,635","21,005","3,235","3,671","21,395","18,693","N/A","N/A","5,193","4,667","N/A","N/A"
"2016","Travis","453","30-34","31,148","33,236","3,330","3,406","21,087","18,509","N/A","N/A","4,264","4,565","N/A","N/A"
"2016","Travis","453","35-39","30,393","29,047","3,318","3,408","17,815","16,032","N/A","N/A","5,301","6,485","N/A","N/A"
"2016","Travis","453","40-44","22,589","19,430","2,915","3,060","15,144","14,086","N/A","N/A","5,631","5,818","N/A","N/A"
"2016","Travis","453","45-49","20,256","18,356","2,968","3,103","12,003","11,644","N/A","N/A","3,576","3,647","N/A","N/A"
"2016","Travis","453","50-54","18,545","17,891","2,987","3,209","9,941","9,564","N/A","N/A","2,612","2,676","N/A","N/A"
"2016","Travis","453","55-59","18,974","18,967","2,972","3,057","7,990","8,037","N/A","N/A","1,884","2,154","N/A","N/A"
"2016","Travis","453","60-64","17,028","17,714","2,322","2,484","5,437","5,857","N/A","N/A","1,439","1,712","N/A","N/A"
"2016","Travis","453","65-69","13,855","13,909","1,591","1,893","3,688","4,165","N/A","N/A","1,092","1,373","N/A","N/A"
"2016","Travis","453","70-74","8,398","8,895","875","1,142","2,099","2,607","N/A","N/A","690","796","N/A","N/A"
"2016","Travis","453","75-79","4,677","5,682","482","786","1,185","1,751","N/A","N/A","449","490","N/A","N/A"
"2016","Travis","453","80-84","2,992","3,950","327","559","723","1,133","N/A","N/A","213","287","N/A","N/A"
"2016","Travis","453","85+","2,878","5,245","200","518","534","973","N/A","N/A","160","265","N/A","N/A"
"2015","Travis","453","< 05","16,305","15,462","3,337","3,304","21,342","20,347","N/A","N/A","4,886","4,560","N/A","N/A"
"2015","Travis","453","05-09","14,284","13,216","3,005","3,006","19,471","18,851","N/A","N/A","3,986","3,996","N/A","N/A"
"2015","Travis","453","10-14","12,910","12,050","3,101","3,003","18,271","17,380","N/A","N/A","3,454","3,649","N/A","N/A"
"2015","Travis","453","15-19","12,796","12,489","3,523","3,265","17,268","16,353","N/A","N/A","3,699","3,637","N/A","N/A"
"2015","Travis","453","20-24","16,863","16,113","3,760","4,115","19,580","18,117","N/A","N/A","5,320","5,057","N/A","N/A"
"2015","Travis","453","25-29","22,066","23,064","3,229","3,563","21,325","18,408","N/A","N/A","5,026","4,497","N/A","N/A"
"2015","Travis","453","30-34","30,954","31,771","3,357","3,380","20,332","18,105","N/A","N/A","4,118","4,635","N/A","N/A"
"2015","Travis","453","35-39","28,410","26,642","3,187","3,348","17,426","15,637","N/A","N/A","5,301","6,125","N/A","N/A"
"2015","Travis","453","40-44","22,348","19,260","2,979","3,108","14,722","13,662","N/A","N/A","5,169","5,292","N/A","N/A"
"2015","Travis","453","45-49","19,504","17,889","2,891","3,090","11,379","11,033","N/A","N/A","3,215","3,259","N/A","N/A"
"2015","Travis","453","50-54","19,128","18,571","3,065","3,221","9,642","9,331","N/A","N/A","2,493","2,547","N/A","N/A"
"2015","Travis","453","55-59","18,996","19,139","2,937","2,993","7,604","7,617","N/A","N/A","1,785","2,078","N/A","N/A"
"2015","Travis","453","60-64","16,860","17,441","2,169","2,385","5,009","5,499","N/A","N/A","1,372","1,615","N/A","N/A"
"2015","Travis","453","65-69","13,221","13,212","1,468","1,719","3,419","3,840","N/A","N/A","1,003","1,281","N/A","N/A"
"2015","Travis","453","70-74","7,817","8,440","806","1,112","1,908","2,438","N/A","N/A","661","734","N/A","N/A"
"2015","Travis","453","75-79","4,431","5,503","478","757","1,116","1,646","N/A","N/A","407","467","N/A","N/A"
"2015","Travis","453","80-84","3,031","3,956","315","544","698","1,071","N/A","N/A","194","265","N/A","N/A"
"2015","Travis","453","85+","2,795","5,286","189","509","505","940","N/A","N/A","148","243","N/A","N/A"
